"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"5532","CD4 Naive","PMC8773395","Differential microRNA expression profile in blood of children with Down syndrome suggests a role in immunological dysfunction","13577_2022_672_MOESM4_ESM.xlsx","NONREDUNDANT_TARGETS-Differential_microRNAs_expression_profile_in_blood_of_children_with_Down_syndrome_suggests_a_role_in_immunological_dysfunction",2287,151,1.62,3.35e-10,3.3e-07,"13577_2022_672_MOESM4_ESM $ NONREDUNDANT_TARGETS-Differential_microRNAs_expression_profile_in_blood_of_children_with_Down_syndrome_suggests_a_role_in_immunological_dysfunction",1
"5533","CD4 Naive","PMC6001411","Differential Expression of CircRNAs in Embryonic Heart Tissue Associated with Ventricular Septal Defect","ijmsv15p0703s1.xlsx","down-regulated-Unnamed_7",1812,127,1.72,3.37e-10,3.32e-07,"ijmsv15p0703s1 $ down-regulated-Unnamed_7",1
"5534","NK","PMC9126928","Single-cell transcriptomics reveals lineage trajectory of human scalp hair follicle and informs mechanisms of hair graying","41421_2022_394_MOESM8_ESM.xlsx","SC1-Age_Differentially_Expressed_Genes_DEGs_of_HFs_were_Identified_by_Function_FindMarkers_of_Seurat_R_Package_Using_Wilcox_Method_log2FC_0_05_pct_0_2",2492,126,1.7,4.26e-10,3.32e-07,"41421_2022_394_MOESM8_ESM $ SC1-Age_Differentially_Expressed_Genes_DEGs_of_HFs_were_Identified_by_Function_FindMarkers_of_Seurat_R_Package_Using_Wilcox_Method_log2FC_0_05_pct_0_2",2
"5535","NK","PMC8787220","The Crosstalk Between Malignant Cells and Tumor-Promoting Immune Cells Relevant to Immunotherapy in Pancreatic Ductal Adenocarcinoma","Table3.XLSX","SC-CD8feature-feature",539,45,2.81,4.27e-10,3.32e-07,"Table3.XLSX $ SC-CD8feature-feature",1
"5536","CD4 Naive","PMC8523699","Effects and prognostic values of miR-30c-5p target genes in gastric cancer via a comprehensive analysis using bioinformatics","41598_2021_43_MOESM2_ESM.xlsx","miRDB-A1CF",1303,100,1.88,3.39e-10,3.33e-07,"41598_2021_43_MOESM2_ESM $ miRDB-A1CF",1
"5537","NK","PMC8809252","Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches","mmc1.xlsx","Human_Circ_NK_NKT_cell_DEGs-Unnamed_0",64,15,7.88,4.29e-10,3.33e-07,"mmc1 $ Human_Circ_NK_NKT_cell_DEGs-Unnamed_0",1
"5538","NK","PMC4617899","BubbleGUM: automatic extraction of phenotype molecular signatures and comprehensive visualization of multiple Gene Set Enrichment Analyses","12864_2015_2012_MOESM2_ESM.xlsx","NK_SIG_mean_2x-Unnamed_1",744,55,2.49,4.31e-10,3.34e-07,"12864_2015_2012_MOESM2_ESM $ NK_SIG_mean_2x-Unnamed_1",1
"5539","NK","PMC9013654","Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing","mmc5.xlsx","25-gene",481,42,2.94,4.33e-10,3.35e-07,"mmc5 $ 25-gene",1
"5540","NK","PMC8546983","Systems Biology behind Immunoprotection of Both Sheep and Goats after Sungri/96 PPRV Vaccination","msystems.00820","20-sd001.xls-CD4_OA-Genes",1457,86,1.99,4.33e-10,3.35e-07,"msystems.00820 $ 20-sd001-CD4_OA-Genes",3
"5541","NK","PMC4333391","Regulation of the transcriptional program by DNA methylation during human αβ T-cell development","supp_gku1340_nar-00947-x-2014-File012.xls","STEP4a-SYMBOL",1384,83,2.02,4.34e-10,3.36e-07,"supp_gku1340_nar-00947-x-2014-File012 $ STEP4a-SYMBOL",4
"5542","CD4 Naive","PMC9741629","Single-cell profiling of healthy human kidney reveals features of sex-based transcriptional programs and tissue-specific immunity","41467_2022_35297_MOESM16_ESM.xlsx","Supp_Fig_15j-Unnamed_0",1832,128,1.71,3.44e-10,3.37e-07,"41467_2022_35297_MOESM16_ESM $ Supp_Fig_15j-Unnamed_0",4
"5543","CD4 Naive","PMC6224081","Substrate-independent immunomodulatory characteristics of mesenchymal stem cells in three-dimensional culture","pone.0206811.s005.xlsx","chitosan-3D-UP-KEGG-Unnamed_5",1123,90,1.97,3.44e-10,3.37e-07,"pone.0206811.s005 $ chitosan-3D-UP-KEGG-Unnamed_5",1
"5544","CD4 Naive","PMC6966109","Expression profile analysis of dermal papilla cells mRNA in response to WNT10B treatment","Supplementary_Data1.xlsx","up_regulation-AccID",1070,87,1.99,3.46e-10,3.38e-07,"Supplementary_Data1 $ up_regulation-AccID",1
"5545","CD4 Naive","PMC10582072","Single-cell transcriptomic analysis reveals a systemic immune dysregulation in COVID-19-associated pediatric encephalopathy","41392_2023_1641_MOESM7_ESM.xls","Sheet_2-names",1213,95,1.92,3.51e-10,3.43e-07,"41392_2023_1641_MOESM7_ESM $ Sheet_2-names",1
"5546","CD4 Naive","PMC8645971","CD247, a Potential T Cell–Derived Disease Severity and Prognostic Biomarker in Patients With Idiopathic Pulmonary Fibrosis","DataSheet_1.xlsx","Sheet1-Unnamed_15",2168,145,1.64,3.52e-10,3.44e-07,"DataSheet_1 $ Sheet1-Unnamed_15",1
"5547","CD4 Naive","PMC7831653","Neurological Manifestations of COVID-19 Feature T Cell Exhaustion and Dedifferentiated Monocytes in Cerebrospinal Fluid","mmc5.xlsx","sev_vs_mild_N-COVID_TcMeta-gene",1304,100,1.88,3.54e-10,3.44e-07,"mmc5 $ sev_vs_mild_N-COVID_TcMeta-gene",3
"5548","NK","PMC9804143","Osteopontin associates with brain TRM-cell transcriptome and compartmentalization in donors with and without multiple sclerosis","mmc2.xlsx","WM_CD8_TRM_vs_GM_CD8_TRM-original",2199,115,1.76,4.5e-10,3.47e-07,"mmc2 $ WM_CD8_TRM_vs_GM_CD8_TRM-original",2
"5549","NK","PMC9804143","Osteopontin associates with brain TRM-cell transcriptome and compartmentalization in donors with and without multiple sclerosis","mmc2.xlsx","WM_CD8_TRM_vs_GM_CD8_TRM-ensembl_gene_id",2199,115,1.76,4.5e-10,3.47e-07,"mmc2 $ WM_CD8_TRM_vs_GM_CD8_TRM-ensembl_gene_id",2
"5550","NK","PMC7738879","Phosphoproteomics identify arachidonic-acid-regulated signal transduction pathways modulating macrophage functions with implications for ovarian cancer","thnov11p1377s2.xlsx","S3-Gene_names",2440,124,1.71,4.5e-10,3.47e-07,"thnov11p1377s2 $ S3-Gene_names",5
"5551","CD4 Naive","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Maternal_Naive_CD4_T_Cells-Gene",465,50,2.64,3.61e-10,3.51e-07,"42003_2023_4623_MOESM5_ESM $ Maternal_Naive_CD4_T_Cells-Gene",3
"5552","CD4 Naive","PMC6895844","Transcriptomic and Network Analysis Highlight the Association of Diabetes at Different Stages of Alzheimer’s Disease","Table_5.xlsx","Supplementary_Table_S5-Supplementary_table_S5_Integrative_meta-analysis_of_gene_expression_datasets_from_MCI_and_T2D_subjects_exclduing_the_dataset_from_children_with_T2D",830,73,2.16,3.63e-10,3.52e-07,"Table_5 $ Supplementary_Table_S5-Supplementary_table_S5_Integrative_meta-analysis_of_gene_expression_datasets_from_MCI_and_T2D_subjects_exclduing_the_dataset_from_children_with_T2D",1
"5553","CD4 Naive","PMC8091598","In utero exposure to chlordecone affects histone modifications and activates LINE-1 in cord blood","LSA-2020-00944_TableS1.xls","Feuil1-Gene1",682,64,2.3,3.64e-10,3.53e-07,"LSA-2020-00944_TableS1 $ Feuil1-Gene1",1
"5554","CD4 Naive","PMC6546022","Maternal Immunity Influences Vertical Transmission of Hepatitis B to Newborns","HEP4-3-795-s015.docx","1-Gene_Symbol",480,51,2.61,3.64e-10,3.53e-07,"HEP4-3-795-s015.docx $ 1-Gene_Symbol",1
"5555","CD4 Naive","PMC6657420","Pan-Cancer and Single-Cell Modeling of Genomic Alterations Through Gene Expression","Table_1.xlsx","OV_amp-Gene",1737,123,1.74,3.66e-10,3.53e-07,"Table_1 $ OV_amp-Gene",1
"5556","CD4 Naive","PMC8020120","Secondary analysis of transcriptomes of SARS-CoV-2 infection models to characterize COVID-19","mmc2.xlsx","Sheet1-Calu3_SARS-CoV-2_Up",2351,154,1.61,3.71e-10,3.58e-07,"mmc2 $ Sheet1-Calu3_SARS-CoV-2_Up",1
"5557","CD4 Naive","PMC10140160","Integrated analysis of methylation profiles and transcriptome of Marek's disease virus-infected chicken spleens reveal hypomethylation of CD4 and HMGB1 genes might promote Marek's disease tumorigenesis","mmc2.xlsx","INvsNoIN_BDMG-Annotation",2494,161,1.58,3.74e-10,3.6e-07,"mmc2 $ INvsNoIN_BDMG-Annotation",2
"5558","CD4 Naive","PMC10140160","Integrated analysis of methylation profiles and transcriptome of Marek's disease virus-infected chicken spleens reveal hypomethylation of CD4 and HMGB1 genes might promote Marek's disease tumorigenesis","mmc2.xlsx","DMGsumary-INvsNoIN_BDMG_2524",2494,161,1.58,3.74e-10,3.6e-07,"mmc2 $ DMGsumary-INvsNoIN_BDMG_2524",2
"5559","NK","PMC3426530","Ago HITS-CLIP Expands Understanding of Kaposi's Sarcoma-associated Herpesvirus miRNA Function in Primary Effusion Lymphomas","ppat.1002884.s014.xlsx","A_BCBL-1_2of3-Supplementary_Table_S3A",2307,119,1.73,4.68e-10,3.6e-07,"ppat.1002884.s014 $ A_BCBL-1_2of3-Supplementary_Table_S3A",3
"5560","NK","PMC4580625","The Relationship of Immune Cell Signatures to Patient Survival Varies within and between Tumor Types","pone.0138726.s006.xlsx","Immune_molecular_modules-CD7_mod",97,18,6.24,4.7e-10,3.62e-07,"pone.0138726.s006 $ Immune_molecular_modules-CD7_mod",1
"5561","CD4 Naive","PMC8978510","Differential transcriptomic landscapes of multiple organs from SARS-CoV-2 early infected rhesus macaques","13238_2022_915_MOESM9_ESM.xlsx","ISGs-Supplementary_Table_S8_Changes_of_IFN-stimulated_genes_ISGs_among_multiple_organs_in_rhesus_macaque_post_SARS-CoV-2_infection",572,57,2.44,3.81e-10,3.66e-07,"13238_2022_915_MOESM9_ESM $ ISGs-Supplementary_Table_S8_Changes_of_IFN-stimulated_genes_ISGs_among_multiple_organs_in_rhesus_macaque_post_SARS-CoV-2_infection",1
"5562","CD4 Naive","PMC3256132","Transcriptional Profiling of Human Familial Longevity Indicates a Role for ASF1A and IL7R","pone.0027759.s002.xls","Suppl_Table_1-Gene_Symbol",1510,111,1.8,3.84e-10,3.68e-07,"pone.0027759.s002 $ Suppl_Table_1-Gene_Symbol",1
"5563","CD4 Naive","PMC6224081","Substrate-independent immunomodulatory characteristics of mesenchymal stem cells in three-dimensional culture","pone.0206811.s005.xlsx","collagen-3D-UP-KEGG-Unnamed_2",1090,88,1.98,3.86e-10,3.69e-07,"pone.0206811.s005 $ collagen-3D-UP-KEGG-Unnamed_2",1
"5564","CD4 Naive","PMC3637864","Dynamic regulatory network controlling Th17 cell differentiation","NIHMS442948-supplement-5.xls","Intermediate-Gene",865,75,2.13,3.89e-10,3.72e-07,"NIHMS442948-supplement-5 $ Intermediate-Gene",2
"5565","NK","PMC9122264","Multimodal profiling of lung granulomas in macaques reveals cellular correlates of tuberculosis control","mmc3.xlsx","Fibroblasts-Gene_ID",1196,75,2.11,4.86e-10,3.73e-07,"mmc3 $ Fibroblasts-Gene_ID",2
"5566","CD4 Naive","PMC8390234","NucHMM: a method for quantitative modeling of nucleosome organization identifying functional nucleosome states distinctly associated with splicing potentiality","13059_2021_2465_MOESM2_ESM.xlsx","NucS10-gene",1380,104,1.85,3.91e-10,3.74e-07,"13059_2021_2465_MOESM2_ESM $ NucS10-gene",1
"5567","CD4 Naive","PMC8554124","A Systematic Review of Transcriptional Dysregulation in Huntington’s Disease Studied by RNA Sequencing","DataSheet2.XLSX","31-ELMO2",2272,150,1.62,3.94e-10,3.76e-07,"DataSheet2.XLSX $ 31-ELMO2",1
"5568","NK","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s003.xlsx","2h_mouse-Unnamed_1",2176,114,1.76,4.94e-10,3.79e-07,"CTM2-12-e689-s003 $ 2h_mouse-Unnamed_1",2
"5569","CD4 Naive","PMC10575628","Single-nuclei characterization of pervasive transcriptional signatures across organs in response to COVID-19","elife-81090-supp4.csv","gene",1682,120,1.75,4.02e-10,3.83e-07,"elife-81090-supp4.csv $ gene",1
"5570","CD4 Naive","PMC3794589","MREdictor: a two-step dynamic interaction model that accounts for mRNA accessibility and Pumilio binding accurately predicts microRNA targets","supp_gkt629_nar-01274-z-2013-File013.xlsx","MREdictor_miR-297-Symbol",1856,129,1.7,4.03e-10,3.83e-07,"supp_gkt629_nar-01274-z-2013-File013 $ MREdictor_miR-297-Symbol",1
"5571","NK","PMC8531356","Meta-analysis of COVID-19 single-cell studies confirms eight key immune responses","41598_2021_121_MOESM2_ESM.xlsx","Wilk-Neutrophil",1761,98,1.87,4.99e-10,3.83e-07,"41598_2021_121_MOESM2_ESM $ Wilk-Neutrophil",3
"5572","CD4 Naive","PMC5826926","VIRMA mediates preferential m6A mRNA methylation in 3′UTR and near stop codon and associates with alternative polyadenylation","41421_2018_19_MOESM7_ESM.xlsx","VIRMA_RIP_enrich-gene",2033,138,1.66,4.06e-10,3.84e-07,"41421_2018_19_MOESM7_ESM $ VIRMA_RIP_enrich-gene",1
"5573","CD4 Naive","PMC5826926","VIRMA mediates preferential m6A mRNA methylation in 3′UTR and near stop codon and associates with alternative polyadenylation","41421_2018_19_MOESM7_ESM.xlsx","VIRMA_RIP_enrich-test_id",2033,138,1.66,4.06e-10,3.84e-07,"41421_2018_19_MOESM7_ESM $ VIRMA_RIP_enrich-test_id",1
"5574","CD4 Naive","PMC5826926","VIRMA mediates preferential m6A mRNA methylation in 3′UTR and near stop codon and associates with alternative polyadenylation","41421_2018_19_MOESM7_ESM.xlsx","VIRMA_RIP_enrich-gene_id",2033,138,1.66,4.06e-10,3.84e-07,"41421_2018_19_MOESM7_ESM $ VIRMA_RIP_enrich-gene_id",1
"5575","CD4 Naive","PMC8914319","Cell–Cell Communication Alterations via Intercellular Signaling Pathways in Substantia Nigra of Parkinson’s Disease","Table_4.XLSX","Table_S4-Unnamed_7",2354,154,1.6,4.07e-10,3.85e-07,"Table_4.XLSX $ Table_S4-Unnamed_7",1
"5576","NK","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s016.xlsx","7g_Mouse-Unnamed_1",2283,118,1.74,5.03e-10,3.85e-07,"CTM2-12-e689-s016 $ 7g_Mouse-Unnamed_1",4
"5577","NK","PMC8323949","Single-cell analysis reveals the pan-cancer invasiveness-associated transition of adipose-derived stromal cells into COL11A1-expressing cancer-associated fibroblasts","pcbi.1009228.s007.xlsx","HNSCC_ALL_exceptLN-X5",684,52,2.56,5.04e-10,3.85e-07,"pcbi.1009228.s007 $ HNSCC_ALL_exceptLN-X5",3
"5578","NK","PMC8323949","Single-cell analysis reveals the pan-cancer invasiveness-associated transition of adipose-derived stromal cells into COL11A1-expressing cancer-associated fibroblasts","pcbi.1009228.s007.xlsx","X5-Unnamed_0",684,52,2.56,5.04e-10,3.85e-07,"pcbi.1009228.s007 $ X5-Unnamed_0",3
"5579","CD4 Naive","PMC5372383","ENL links histone acetylation to oncogenic gene expression in AML","NIHMS850328-supplement-supp_table1.xlsx","Table_S6_MV411_F-ENL_ChIP_peak-nearest_TSS",1876,130,1.7,4.1e-10,3.87e-07,"NIHMS850328-supplement-supp_table1 $ Table_S6_MV411_F-ENL_ChIP_peak-nearest_TSS",6
"5580","NK","PMC9773466","Spatially resolved transcriptomics reveals genes associated with the vulnerability of middle temporal gyrus in Alzheimer’s disease","40478_2022_1494_MOESM8_ESM.xlsx","AD_upregulated_DEG-Unnamed_1",2472,125,1.7,5.11e-10,3.9e-07,"40478_2022_1494_MOESM8_ESM $ AD_upregulated_DEG-Unnamed_1",2
"5581","CD4 Naive","PMC9010469","Small RNA Expression Profiling Reveals hsa-miR-181d-5p Downregulation Associated With TNF-α Overexpression in Sjögren’s Syndrome Patients","Table_6.xls","Hoja1-Unnamed_3",1400,105,1.84,4.15e-10,3.91e-07,"Table_6 $ Hoja1-Unnamed_3",1
"5582","CD4 Naive","PMC6966109","Expression profile analysis of dermal papilla cells mRNA in response to WNT10B treatment","Supplementary_Data1.xlsx","up_regulation-Symbol",1074,87,1.99,4.17e-10,3.92e-07,"Supplementary_Data1 $ up_regulation-Symbol",1
"5583","NK","PMC9804143","Osteopontin associates with brain TRM-cell transcriptome and compartmentalization in donors with and without multiple sclerosis","mmc2.xlsx","WM_CD8_TRM_vs_GM_CD8_TRM-hgnc_symbol",2204,115,1.75,5.15e-10,3.92e-07,"mmc2 $ WM_CD8_TRM_vs_GM_CD8_TRM-hgnc_symbol",2
"5584","NK","PMC7678849","Proteomic profiling and genome-wide mapping of O-GlcNAc chromatin-associated proteins reveal an O-GlcNAc-regulated genotoxic stress response","41467_2020_19579_MOESM16_ESM.xlsx","Sheet1-Unnamed_1",1389,83,2.01,5.16e-10,3.93e-07,"41467_2020_19579_MOESM16_ESM $ Sheet1-Unnamed_1",3
"5585","NK","PMC8944900","AhR promotes phosphorylation of ARNT isoform 1 in human T cell malignancies as a switch for optimal AhR activity","pnas.2114336119.sd04.xlsx","Upstream_Regulators_Z-score-Upstream_Regulators",2311,119,1.73,5.2e-10,3.95e-07,"pnas.2114336119.sd04 $ Upstream_Regulators_Z-score-Upstream_Regulators",1
"5586","NK","PMC6462079","Risk variants disrupting enhancers of TH1 and TREG cells in type 1 diabetes","pnas.1815336116.sd07.xlsx","All-Unnamed_1",1438,85,1.99,5.21e-10,3.95e-07,"pnas.1815336116.sd07 $ All-Unnamed_1",2
"5587","NK","PMC8386078","Acute depletion of CTCF rewires genome-wide chromatin accessibility","13059_2021_2466_MOESM7_ESM.xlsx","Phosphoproteome-Unnamed_1",2205,115,1.75,5.29e-10,4.01e-07,"13059_2021_2466_MOESM7_ESM $ Phosphoproteome-Unnamed_1",4
"5588","NK","PMC8691692","Dissecting the Landscape of Activated CMV-Stimulated CD4+ T Cells in Humans by Linking Single-Cell RNA-Seq With T-Cell Receptor Sequencing","Table_4.xlsx","cmv_5clusters_findallmarkers_RN-gene",1013,67,2.22,5.32e-10,4.02e-07,"Table_4 $ cmv_5clusters_findallmarkers_RN-gene",3
"5589","CD4 Naive","PMC3188798","Genomewide characterization of non-polyadenylated RNAs","gb-2011-12-2-r16-S8.XLSX","HeLa_Bimorphic-Gene_1",2376,155,1.6,4.28e-10,4.03e-07,"gb-2011-12-2-r16-S8.XLSX $ HeLa_Bimorphic-Gene_1",1
"5590","CD4 Naive","PMC6224081","Substrate-independent immunomodulatory characteristics of mesenchymal stem cells in three-dimensional culture","pone.0206811.s005.xlsx","chitosan-3D-UP-KEGG-Unnamed_2",1128,90,1.96,4.32e-10,4.05e-07,"pone.0206811.s005 $ chitosan-3D-UP-KEGG-Unnamed_2",1
"5591","CD4 Naive","PMC10265985","Glial dysregulation in the human brain in fragile X-associated tremor/ataxia syndrome","pnas.2300052120.sd03.xlsx","AstroII-GeneId",1761,124,1.73,4.33e-10,4.06e-07,"pnas.2300052120.sd03 $ AstroII-GeneId",1
"5592","CD4 Naive","PMC5707088","Altered microRNA profiles during early colon adenoma progression in a porcine model of familial adenomatous polyposis","oncotarget-08-96154-s004.xls","Targets-LG-IEN_vs_NM-Unnamed_1",1646,118,1.76,4.36e-10,4.09e-07,"oncotarget-08-96154-s004 $ Targets-LG-IEN_vs_NM-Unnamed_1",1
"5593","NK","PMC9259014","The transcription factor RUNX2 drives the generation of human NK cells and promotes tissue residency","elife-80320-supp4.xlsx","Supplementary_file_4-Unnamed_7",644,50,2.61,5.44e-10,4.11e-07,"elife-80320-supp4 $ Supplementary_file_4-Unnamed_7",1
"5594","NK","PMC8210586","Multi-omic profiling reveals widespread dysregulation of innate immunity and hematopoiesis in COVID-19","JEM_20210582_TableS6.xlsx","SupplementaryTable_6-Unnamed_6",1106,71,2.16,5.55e-10,4.19e-07,"JEM_20210582_TableS6 $ SupplementaryTable_6-Unnamed_6",1
"5595","CD4 Naive","PMC7018568","Chronic Voluntary Ethanol Drinking in Cynomolgus Macaques Elicits Gene Expression Changes in Prefrontal Cortical Area 46","ACER-44-470-s001.xlsx","Upreg_in_Ethanol-Unnamed_0",513,53,2.53,4.49e-10,4.2e-07,"ACER-44-470-s001 $ Upreg_in_Ethanol-Unnamed_0",1
"5596","CD4 Naive","PMC6430832","Dissecting heterogeneity in malignant pleural mesothelioma through histo-molecular gradients for clinical applications","41467_2019_9307_MOESM12_ESM.xlsx","Data_9_CIT-Supplementary_Data_9_Centroids_of_CIT_MPM_subtypes",2398,156,1.6,4.5e-10,4.2e-07,"41467_2019_9307_MOESM12_ESM $ Data_9_CIT-Supplementary_Data_9_Centroids_of_CIT_MPM_subtypes",1
"5597","NK","PMC7974552","A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells","mmc2.xlsx","Cluster_enriched_gene_list-Unnamed_0",1714,96,1.88,5.6e-10,4.21e-07,"mmc2 $ Cluster_enriched_gene_list-Unnamed_0",1
"5598","NK","PMC5340972","Single-cell transcriptome analysis of fish immune cells provides insight into the evolution of vertebrate immune cell types","supp_gr.207704.116_Supplemental_Table_S5.xlsx","Human-NK",98,18,6.18,5.61e-10,4.21e-07,"supp_gr.207704.116_Supplemental_Table_S5 $ Human-NK",1
